fishId,itemId,grade,minSizeCm,maxSizeCm,baseWeight,baseExp,dropGroup,isBoss,isEnabled,notes
fish_anchovy_g1,fish_anchovy,1,5,12,100,3,shore_common,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_anchovy_g2,fish_anchovy,2,7,15,35,6,shore_common,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_anchovy_g3,fish_anchovy,3,10,18,8,11,shore_common,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_mackerel_g1,fish_mackerel,1,18,32,85,4,shore_common,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_mackerel_g2,fish_mackerel,2,24,40,28,8,shore_common,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_mackerel_g3,fish_mackerel,3,30,48,7,14,shore_common,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_flatfish_g1,fish_flatfish,1,25,45,60,7,shore_uncommon,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_flatfish_g2,fish_flatfish,2,32,58,22,14,shore_uncommon,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_flatfish_g3,fish_flatfish,3,42,75,6,25,shore_uncommon,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_hairtail_g1,fish_hairtail,1,30,55,55,7,shore_uncommon,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_hairtail_g2,fish_hairtail,2,42,70,20,14,shore_uncommon,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_hairtail_g3,fish_hairtail,3,55,90,5,25,shore_uncommon,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_saury_g1,fish_saury,1,16,28,110,2,shore_common,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_saury_g2,fish_saury,2,22,36,40,4,shore_common,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_saury_g3,fish_saury,3,28,45,10,8,shore_common,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_squid_g1,fish_squid,1,20,35,70,6,shore_uncommon,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_squid_g2,fish_squid,2,28,48,24,12,shore_uncommon,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_squid_g3,fish_squid,3,38,65,7,21,shore_uncommon,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_pollock_g1,fish_pollock,1,22,38,65,6,shore_uncommon,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_pollock_g2,fish_pollock,2,30,50,22,12,shore_uncommon,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_pollock_g3,fish_pollock,3,40,68,6,21,shore_uncommon,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_snapper_g1,fish_snapper,1,30,55,35,10,shore_epic,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
fish_snapper_g2,fish_snapper,2,45,75,12,20,shore_epic,FALSE,TRUE,등급별 크기와 경험치 기준입니다. 신규 희귀도 구조와 함께 재검증이 필요합니다.
